Clinic ID,Clinic Name,Clinic Address,Postal Code,FSA,Clinic City,Province
86,Clinic 86,267 O'Connor St Suite 306,K2P 1V3,K2P,Ottawa,ON
87,Clinic 87,9909 102 St Room 928,T8V 2V4,T8V,Grande Prairie,AB
88,Clinic 88,210 Melrose Ave,K1Y 4K7,K1Y,Ottawa,ON
89,Clinic 89,1229 Queen St W,M6K 1L2,M6K,Toronto,ON
90,Clinic 90,300 Silver Star Blvd Floor 2,M1V 0G2,M1V,Scarborough,ON
91,Clinic 91,10240 Kingsway  Nw Room 201,T5H 3V9,T5H,Edmonton,AB
92,Clinic 92,1053 Carling Ave Room 353,K1Y 4E9,K1Y,Ottawa,ON
93,Clinic 93,13750 96 Ave,V3V 1Z2,V3V,Surrey,BC
94,Clinic 94,Cfb Kingston,K7K 7B4,K7K,Kingston,ON
95,Clinic 95,2120 Regent St Unit 2,P3E 3Z9,P3E,Sudbury,ON
96,Clinic 96,770 Broadview Ave Suite 305,K2A 3Z3,K2A,Ottawa,ON
97,Clinic 97,207 Hastings St W Suite 608,V6B 1H7,V6B,Vancouver,BC
98,Clinic 98,10 Earlsbridge Blvd Suite 6,L7A 3P1,L7A,Brampton,ON
99,Clinic 99,60 Murray St Room L5-210,M5T 3L9,M5T,Toronto,ON
100,Clinic 100,1151 Richmond St Floor 2,N6A 5C1,N6A,London,ON
